brand,category,priority,notes,recent news
Chobani,CPG,A,Wellness relevance and growth audience alignment,Recent brand activity around wellness creates a timely reason to connect
Pizza Hut,QSR,A,Strong QSR fit and promotional cadence,Seasonal promotions and menu visibility create a timely outreach moment
Hulu,Streaming,B,Potential audience growth relevance,Streaming competition makes contextual differentiation more relevant
Searchlights Pictures,Entertainment,A,,
Covered California,Public Services,A,,
NJ Lotto,Private/Public Services,A,,
AltaMed,Non-profit,C,,
CA Lottery,Private/Public Services,A,,
Rocket Mortgage,Finanacial Services,A,,
NJ DHS,Public Services,C,,
CalKIDS,Public Services,B,,
Golden Corral,Restaurant,A,,
"Pfizer, Inc.",Pharma,A,,
Prudential,Finanacial Services,B,,
MLS,Entertainment,C,,
El Pollo Loco,QSR,B,,
Keurig Dr Pepper,CPG,A,,
Wingstop,QSR,B,,
Kimberly Clark,CPF,B,,
Jamaica Tourist Board,Travel & Tourism,B,,
Paramount Pictures,Entertainment,A,,
Disney,Entertainment,A,,
Universal Pictures,Entertainment,A,,
Nissan Motor Company,Auto,A,,
Lionsgate,Entertainment,B,,
JPMorgan Chase & Co.,Finanacial Services,B,,
Solve(d),Pharma,C,,
Blue Diamond Growers,CPG,B,,
Churchs Chicken,QSR,B,,
Marriott,Travel & Tourism,B,,
Lens Crafters/Pearl Vision,Healthcare,C,,
Bose,Retail,C,,
Nike Inc.,Retail,B,,
Nike Inc.,Retail,B,,
Infiniti,Auto,B,,
Xfinity,Telco/Internet,A,,
Spectrum,Telco/Internet,A,,
Daisy,CPG,C,,
Papa John's,QSR,C,,
Tropical Smoothie Cafe,QSR,B,,
NFL,Entertainment,C,,
Sony Corporation,Entertainment,C,,
Starz,Entertainment,C,,
Warner Bros Pictures,Entertainment,A,,
21St Century Fox,Entertainment,B,,
Warner Bros,Entertainment,B,,
Wendy's,QSR,B,,
Mattress Firm,Retail,B,,
Paramount +,Entertainment,A,,
FX,Entertainment,B,,
HBO,Entertainment,A,,
Jimmy John's,QSR,B,,
Showtime,Entertainment,B,,
AZ Office of Tourism,Public Services,B,,
Arbys,QSR,B,,
Baskin-Robbins,QSR,B,,
Buffalo Wild Wings,QSR,B,,
Chick-fil-A,QSR,B,,
Bleecker Street,Entertainment,B,,
Dunkin',QSR,A,,
AEN,Entertainment,C,,
VH1,Entertainment,C,,
Hallmark,Entertainment,C,,
Nickelodeon,Entertainment,C,,
Organon,Pharma,A,,
Biogen,Pharma,C,,
Sonic,QSR,A,,
Biohaven,Pharma,C,,
LinkedIn,B2B,B,,
Combe,CPG,B,,
Crown Lab/Revance ,CPG,B,,
Moderna,Pharma,C,,
Land-o-Lakes,CPG,C,,
Galderma,CPG,B,,
Prestige Brands,CPG,A,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,